source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,1,TKN,0.57,mg/L,,FALSE,FALSE,0.57
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,1,o-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,1,t-PO4,0.26,mg/L as PO4,0.0848,FALSE,FALSE,0.26
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,1,SiO2,4.9,mg/L,,FALSE,FALSE,4.9
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,5,TKN,0.65,mg/L,,FALSE,FALSE,0.65
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,5,o-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,5,t-PO4,0.26,mg/L as PO4,0.0848,FALSE,FALSE,0.26
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,5,SiO2,4.8,mg/L,,FALSE,FALSE,4.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,10,NO3,0.03,mg/L,,FALSE,FALSE,0.03
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,10,TKN,0.57,mg/L,,FALSE,FALSE,0.57
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,10,o-PO4,0.07,mg/L as PO4,0.02283,FALSE,FALSE,0.07
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,10,t-PO4,0.26,mg/L as PO4,0.0848,FALSE,FALSE,0.26
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,10,SiO2,5.0,mg/L,,FALSE,FALSE,5.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,22,NO3,0.05,mg/L,,FALSE,FALSE,0.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,22,TKN,0.54,mg/L,,FALSE,FALSE,0.54
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,22,o-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,22,t-PO4,0.28,mg/L as PO4,0.09132,FALSE,FALSE,0.28
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,APRIL,1971-04-13,22,SiO2,5.0,mg/L,,FALSE,FALSE,5.0
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,1,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,1,TKN,1.05,mg/L,,FALSE,FALSE,1.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,1,o-PO4,0.01,mg/L as PO4,0.00326,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,1,t-PO4,0.2,mg/L as PO4,0.06523,FALSE,FALSE,0.20
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,1,SiO2,3.8,mg/L,,FALSE,FALSE,3.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,5,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,5,TKN,1.05,mg/L,,FALSE,FALSE,1.05
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,5,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,5,t-PO4,0.14,mg/L as PO4,0.04566,FALSE,FALSE,0.14
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,5,SiO2,3.8,mg/L,,FALSE,FALSE,3.8
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,TKN,0.82,mg/L,,FALSE,FALSE,0.82
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,o-PO4,0.01,mg/L as PO4,0.00326,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,t-PO4,0.15,mg/L as PO4,0.04892,FALSE,FALSE,0.15
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,10,SiO2,3.9,mg/L,,FALSE,FALSE,3.9
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,NO3,0.01,mg/L,,TRUE,FALSE,<0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,TKN,0.8,mg/L,,FALSE,FALSE,0.80
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,o-PO4,0.19,mg/L as PO4,0.06197,FALSE,FALSE,0.19
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,t-PO4,0.38,mg/L as PO4,0.12394,FALSE,FALSE,0.38
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,15,SiO2,4.2,mg/L,,FALSE,FALSE,4.2
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,JUNE,1971-06-16,20,TKN,2.03,mg/L,,FALSE,FALSE,2.03
