lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Wood Lake,1,APRIL,1,<0.01,0.57,0.08,0.26,4.9
Wood Lake,1,APRIL,5,<0.01,0.65,0.08,0.26,4.8
Wood Lake,1,APRIL,10,0.03,0.57,0.07,0.26,5.0
Wood Lake,1,APRIL,22,0.05,0.54,0.08,0.28,5.0
Wood Lake,1,JUNE,1,<0.01,1.05,0.01,0.20,3.8
Wood Lake,1,JUNE,5,<0.01,1.05,<0.01,0.14,3.8
Wood Lake,1,JUNE,10,<0.01,0.82,<0.01,0.15,3.9
Wood Lake,1,JUNE,15,<0.01,0.80,0.19,0.38,4.2
Wood Lake,1,JUNE,20,0.01,2.03,0.14,0.29,4.3
Wood Lake,1,JUNE,25,0.02,0.77,0.53,0.62,5.0
Wood Lake,1,AUGUST,1,<0.01,<0.01,<0.01,ND,4.8
Wood Lake,1,AUGUST,5,<0.01,0.02,<0.01,ND,4.8
Wood Lake,1,AUGUST,10,<0.01,0.13,<0.01,ND,4.9
Wood Lake,1,AUGUST,15,<0.01,0.38,<0.01,0.28,5.1
Wood Lake,1,AUGUST,20,0.22,1.18,0.04,0.12,5.5
Wood Lake,1,AUGUST,28,0.08,0.66,0.29,0.49,5.8
Wood Lake,1,OCTOBER,1,<0.01,0.38,<0.005,0.07,5.1
Wood Lake,1,OCTOBER,10,<0.01,0.43,<0.005,0.06,5.1
Wood Lake,1,OCTOBER,15,<0.01,0.39,0.04,0.08,5.6
Wood Lake,1,OCTOBER,20,0.01,0.74,0.41,0.55,6.1
Wood Lake,1,OCTOBER,26,0.01,3.82,0.61,0.76,6.4
Wood Lake,2,APRIL,1,0.03,0.46,0.08,0.28,4.8
Wood Lake,2,APRIL,5,0.03,0.52,0.07,0.29,4.8
Wood Lake,2,APRIL,10,0.01,0.54,0.09,0.29,4.9
Wood Lake,2,APRIL,25,0.04,0.54,0.09,0.29,5.0
Wood Lake,2,APRIL,28,0.05,0.64,0.11,0.31,5.3
Wood Lake,2,JUNE,1,<0.01,0.57,0.01,0.24,3.9
Wood Lake,2,JUNE,5,<0.01,0.56,<0.01,0.11,4.0
Wood Lake,2,JUNE,10,<0.01,0.36,0.02,0.16,4.1
Wood Lake,2,JUNE,15,<0.01,0.36,0.05,0.25,4.3
Wood Lake,2,JUNE,20,<0.01,0.23,0.18,0.25,4.6
Wood Lake,2,JUNE,28,0.02,1.05,0.61,0.72,5.0
Wood Lake,2,AUGUST,1,<0.01,0.29,<0.01,0.05,4.9
Wood Lake,2,AUGUST,5,<0.01,0.26,<0.01,0.06,5.0
Wood Lake,2,AUGUST,10,0.21,0.41,<0.01,0.06,5.0
Wood Lake,2,AUGUST,15,<0.01,0.43,<0.01,0.14,5.3
Wood Lake,2,AUGUST,25,0.01,0.66,0.58,0.70,6.2
Wood Lake,2,AUGUST,30,0.02,0.83,0.62,0.75,6.3
Wood Lake,2,OCTOBER,1,<0.01,0.51,<0.005,0.06,5.1
Wood Lake,2,OCTOBER,10,<0.01,0.56,<0.005,0.06,5.1
Wood Lake,2,OCTOBER,15,<0.01,0.34,0.008,0.05,5.4
Wood Lake,2,OCTOBER,20,<0.01,0.51,0.29,0.36,5.9
Wood Lake,2,OCTOBER,29,0.02,1.11,0.62,0.76,6.4
Wood Lake,4,APRIL,1,<0.01,0.82,0.08,0.31,5.1
Wood Lake,4,APRIL,5,0.01,0.64,0.07,0.29,5.1
Wood Lake,4,APRIL,10,0.02,0.59,0.08,0.29,5.2
Wood Lake,4,APRIL,15,0.04,0.47,0.10,3.8,5.4
Wood Lake,4,JUNE,1,<0.01,0.52,0.02,0.26,3.8
Wood Lake,4,JUNE,5,<0.01,0.39,0.01,0.00,3.9
Wood Lake,4,JUNE,10,0.01,0.61,0.01,0.12,4.0
Wood Lake,4,JUNE,15,0.02,1.00,0.10,0.25,4.5
Wood Lake,4,AUGUST,1,<0.01,0.04,<0.01,0.04,4.8
Wood Lake,4,AUGUST,5,<0.01,0.16,<0.01,0.06,4.9
Wood Lake,4,AUGUST,10,0.01,0.47,<0.01,0.15,4.9
Wood Lake,4,AUGUST,17,0.10,0.93,<0.01,0.12,5.5
Wood Lake,4,OCTOBER,1,<0.01,0.38,<0.005,0.07,5.2
Wood Lake,4,OCTOBER,10,<0.01,0.38,<0.005,0.06,5.2
Wood Lake,4,OCTOBER,15,<0.01,0.25,<0.005,0.05,5.2
Wood Lake,4,OCTOBER,18,<0.01,0.28,<0.005,0.20,5.6
Skaha Lake,1,APRIL,1,<0.01,0.13,0.02,0.05,0.3
Skaha Lake,1,APRIL,5,<0.01,0.16,0.01,0.05,0.2
Skaha Lake,1,APRIL,10,<0.01,0.21,0.01,0.06,0.4
Skaha Lake,1,JUNE,1,0.02,0.20,0.19,0.26,2.4
Skaha Lake,1,JUNE,5,<0.01,0.20,0.01,0.06,2.3
Skaha Lake,1,JUNE,10,<0.01,0.26,0.02,0.07,2.3
Skaha Lake,1,AUGUST,1,<0.01,0.34,<0.01,ND,3.0
Skaha Lake,1,AUGUST,5,<0.01,0.18,<0.01,ND,3.0
Skaha Lake,1,AUGUST,10,<0.01,<0.01,0.01,ND,3.0
Skaha Lake,1,OCTOBER,1,<0.01,0.38,<0.005,0.04,2.8
Skaha Lake,1,OCTOBER,5,<0.01,0.30,<0.005,0.04,2.8
Skaha Lake,1,OCTOBER,10,0.01,0.16,<0.005,0.04,2.8
Skaha Lake,2,APRIL,1,<0.01,0.23,0.01,0.05,0.3
Skaha Lake,2,APRIL,5,<0.01,0.13,0.01,0.09,0.4
Skaha Lake,2,APRIL,10,<0.01,0.20,0.01,0.05,0.4
Skaha Lake,2,APRIL,25,<0.01,0.16,0.01,0.07,0.3
Skaha Lake,2,APRIL,47,0.01,0.16,0.02,0.07,0.3
Skaha Lake,2,JUNE,1,<0.01,0.33,0.29,0.38,2.6
Skaha Lake,2,JUNE,5,<0.01,0.30,0.02,0.09,2.5
Skaha Lake,2,JUNE,10,<0.01,0.30,0.02,0.07,2.3
Skaha Lake,2,JUNE,15,<0.02,0.34,0.03,0.07,1.0
Skaha Lake,2,JUNE,20,<0.01,0.34,0.03,0.07,0.6
Skaha Lake,2,JUNE,30,<0.01,0.21,0.03,ND,0.4
Skaha Lake,2,JUNE,44,0.01,0.38,0.07,0.13,0.5
Skaha Lake,2,AUGUST,1,<0.01,<0.01,<0.01,ND,2.8
Skaha Lake,2,AUGUST,5,<0.01,<0.01,<0.01,ND,2.7
Skaha Lake,2,AUGUST,15,0.03,<0.01,0.01,ND,2.1
Skaha Lake,2,AUGUST,30,0.05,0.23,0.02,ND,1.4
Skaha Lake,2,AUGUST,48,0.06,0.08,0.04,ND,1.4
Skaha Lake,2,OCTOBER,1,<0.01,0.43,<0.005,0.06,2.8
Skaha Lake,2,OCTOBER,10,<0.01,0.36,<0.005,0.05,2.7
Skaha Lake,2,OCTOBER,20,0.09,0.18,0.08,0.09,2.0
Skaha Lake,2,OCTOBER,30,0.09,0.16,0.10,0.11,1.5
Skaha Lake,2,OCTOBER,48,0.17,0.16,0.21,0.22,2.1
Skaha Lake,4,APRIL,1,<0.01,0.38,0.01,0.05,0.3
Skaha Lake,4,APRIL,5,<0.01,0.02,0.01,0.05,0.2
Skaha Lake,4,APRIL,10,<0.01,0.26,0.02,0.05,0.2
Skaha Lake,4,APRIL,25,<0.01,0.20,0.02,0.08,0.2
Skaha Lake,4,APRIL,48,<0.01,0.28,0.02,0.07,0.3
Skaha Lake,4,JUNE,1,0.01,0.10,0.20,0.29,2.3
Skaha Lake,4,JUNE,5,<0.01,0.20,0.01,0.08,2.4
Skaha Lake,4,JUNE,10,0.01,0.21,0.01,0.07,2.6
Skaha Lake,4,JUNE,15,0.01,0.13,3.03,0.07,1.3
Skaha Lake,4,JUNE,20,0.01,0.20,0.04,0.07,0.8
Skaha Lake,4,JUNE,30,0.01,0.07,0.06,0.10,0.6
Skaha Lake,4,JUNE,44,0.01,0.59,0.07,0.11,0.6
Skaha Lake,4,AUGUST,1,<0.01,0.13,0.25,ND,2.7
Skaha Lake,4,AUGUST,5,0.01,0.33,<0.01,ND,2.7
Skaha Lake,4,AUGUST,15,0.05,0.11,0.03,ND,2.0
Skaha Lake,4,AUGUST,30,0.12,0.38,0.15,ND,1.4
Skaha Lake,4,AUGUST,48,0.06,0.11,0.05,ND,1.8
Skaha Lake,4,OCTOBER,1,<0.01,0.46,<0.005,0.06,2.8
Skaha Lake,4,OCTOBER,10,<0.01,0.20,<0.005,0.04,2.8
Skaha Lake,4,OCTOBER,20,0.07,1.31,0.09,0.10,2.1
Skaha Lake,4,OCTOBER,30,0.14,0.07,0.16,0.17,2.1
Skaha Lake,4,OCTOBER,44,0.13,0.10,0.21,0.24,2.3
Skaha Lake,6,APRIL,1,<0.01,0.28,0.02,0.05,0.2
Skaha Lake,6,APRIL,5,<0.01,0.28,0.02,0.07,0.2
Skaha Lake,6,APRIL,10,<0.01,0.18,0.02,0.05,0.2
Skaha Lake,6,APRIL,25,<0.01,0.21,0.02,0.07,0.2
Skaha Lake,6,APRIL,37,<0.01,0.28,0.02,0.09,0.2
Skaha Lake,6,JUNE,1,<0.01,<0.01,0.14,0.21,2.3
Skaha Lake,6,JUNE,5,<0.01,0.13,0.01,0.06,2.3
Skaha Lake,6,JUNE,10,0.01,0.13,0.02,0.07,2.1
Skaha Lake,6,JUNE,15,<0.01,0.46,0.04,0.08,1.3
Skaha Lake,6,JUNE,20,<0.01,0.69,0.06,0.11,0.7
