lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Okanagan Lake,10,APRIL,1,<0.01,0.77,0.01,0.04,4.9
Okanagan Lake,10,APRIL,5,<0.01,0.15,<0.01,0.03,4.8
Okanagan Lake,10,APRIL,10,<0.01,0.21,<0.01,0.03,4.8
Okanagan Lake,10,APRIL,25,<0.01,0.16,<0.01,0.04,5.0
Okanagan Lake,10,APRIL,50,0.01,0.20,<0.01,0.03,5.1
Okanagan Lake,10,APRIL,59,0.02,0.11,<0.01,0.03,5.3
Okanagan Lake,10,JUNE,1,<0.01,0.08,0.29,0.38,3.9
Okanagan Lake,10,JUNE,5,<0.01,0.05,<0.01,0.03,3.7
Okanagan Lake,10,JUNE,10,<0.01,0.33,<0.01,0.03,3.9
Okanagan Lake,10,JUNE,25,0.01,0.13,0.01,0.03,4.2
Okanagan Lake,10,JUNE,50,0.02,<0.01,0.01,0.03,4.3
Okanagan Lake,10,JUNE,62,0.02,0.13,0.01,0.03,4.4
Okanagan Lake,10,AUGUST,1,<0.01,0.39,<0.01,0.02,4.3
Okanagan Lake,10,AUGUST,5,<0.01,0.44,<0.01,0.02,4.3
Okanagan Lake,10,AUGUST,10,<0.01,0.36,<0.01,0.02,4.4
Okanagan Lake,10,AUGUST,25,0.04,0.31,0.01,0.02,4.7
Okanagan Lake,10,AUGUST,50,0.03,0.36,0.01,0.02,4.8
Okanagan Lake,10,AUGUST,58,0.04,0.15,0.01,0.03,4.9
Okanagan Lake,10,OCTOBER,1,<0.01,0.16,<0.005,0.02,4.3
Okanagan Lake,10,OCTOBER,5,<0.01,<0.01,<0.005,0.02,4.3
Okanagan Lake,10,OCTOBER,15,<0.01,<0.01,<0.005,0.02,4.4
Okanagan Lake,10,OCTOBER,25,0.02,<0.01,0.005,0.02,4.9
Okanagan Lake,10,OCTOBER,53,0.02,<0.01,0.005,0.02,5.0
Okanagan Lake,11,APRIL,1,0.02,0.28,<0.01,0.02,5.0
Okanagan Lake,11,APRIL,5,<0.01,0.50,<0.01,0.03,5.0
Okanagan Lake,11,APRIL,10,<0.01,0.16,0.01,0.02,4.9
Okanagan Lake,11,APRIL,25,0.03,0.18,<0.01,0.03,5.1
Okanagan Lake,11,APRIL,50,0.03,0.18,<0.01,0.03,5.5
Okanagan Lake,11,APRIL,100,0.03,0.11,<0.01,0.02,5.5
Okanagan Lake,11,APRIL,180,0.03,0.08,<0.01,0.03,5.7
Okanagan Lake,11,JUNE,1,<0.01,<0.01,0.69,0.17,4.0
Okanagan Lake,11,JUNE,5,<0.01,0.07,0.01,0.03,3.9
Okanagan Lake,11,JUNE,10,<0.01,0.11,<0.01,0.04,3.9
Okanagan Lake,11,JUNE,25,<0.01,0.15,<0.01,0.02,4.1
Okanagan Lake,11,JUNE,50,0.02,0.02,0.01,0.01,4.2
Okanagan Lake,11,JUNE,100,0.03,0.20,0.01,0.01,4.4
Okanagan Lake,11,JUNE,182,0.04,<0.01,0.01,0.03,4.8
Okanagan Lake,11,AUGUST,1,<0.01,0.25,<0.01,0.02,4.2
Okanagan Lake,11,AUGUST,5,<0.01,0.25,<0.01,0.02,4.2
Okanagan Lake,11,AUGUST,10,<0.01,0.16,<0.01,0.03,4.2
Okanagan Lake,11,AUGUST,25,0.13,0.25,<0.01,0.02,4.6
Okanagan Lake,11,AUGUST,50,0.04,<0.01,0.01,0.02,5.0
Okanagan Lake,11,AUGUST,100,0.04,0.21,0.01,0.02,5.1
Okanagan Lake,11,AUGUST,168,0.05,0.15,0.01,0.03,5.4
Okanagan Lake,11,OCTOBER,1,0.04,<0.01,<0.005,0.02,4.4
Okanagan Lake,11,OCTOBER,5,<0.01,<0.01,<0.005,0.02,4.4
Okanagan Lake,11,OCTOBER,10,<0.01,<0.01,<0.005,0.02,4.4
Okanagan Lake,11,OCTOBER,25,<0.01,<0.01,<0.005,0.02,4.5
Okanagan Lake,11,OCTOBER,50,0.01,<0.01,<0.005,0.02,4.8
Okanagan Lake,11,OCTOBER,100,0.03,<0.01,0.005,0.04,5.0
Okanagan Lake,11,OCTOBER,152,0.04,<0.01,0.01,0.05,5.5
Okanagan Lake,13,APRIL,1,<0.01,0.15,0.01,0.02,4.9
Okanagan Lake,13,APRIL,5,<0.01,0.13,<0.01,0.03,4.9
Okanagan Lake,13,APRIL,10,<0.01,0.17,<0.01,0.03,5.1
Okanagan Lake,13,APRIL,25,0.02,0.11,<0.01,0.03,5.0
Okanagan Lake,13,APRIL,50,0.02,0.15,0.01,0.03,5.3
Okanagan Lake,13,APRIL,100,0.03,0.10,<0.01,0.03,5.4
Okanagan Lake,13,APRIL,219,0.02,0.13,<0.01,0.03,5.4
Okanagan Lake,13,JUNE,1,<0.01,0.05,0.20,0.23,4.2
Okanagan Lake,13,JUNE,5,ND,ND,ND,ND,4.1
Okanagan Lake,13,JUNE,10,<0.01,0.16,<0.01,0.03,4.0
Okanagan Lake,13,JUNE,25,<0.01,0.14,0.03,0.05,4.2
Okanagan Lake,13,JUNE,50,0.01,0.20,0.01,0.02,4.3
Okanagan Lake,13,JUNE,100,0.02,0.13,<0.01,0.01,4.4
Okanagan Lake,13,JUNE,210,0.04,0.13,0.01,0.07,4.8
Okanagan Lake,13,AUGUST,1,<0.01,0.13,<0.01,0.02,4.4
