lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Okanagan Lake,1,APRIL,1,<0.01,0.05,0.01,0.03,4.5
Okanagan Lake,1,APRIL,5,<0.01,0.10,0.02,0.04,4.6
Okanagan Lake,1,APRIL,10,<0.01,0.23,0.02,0-05,5.2
Okanagan Lake,1,APRIL,25,<0.01,0.23,0.01,0.04,5.2
Okanagan Lake,1,APRIL,50,<0.01,0.25,0.51,0.58,4.9
Okanagan Lake,1,APRIL,84,<0.01,0.42,0.01,0.05,4.9
Okanagan Lake,1,JUNE,1,0.01,0.33,<0.01,ND,4.4
Okanagan Lake,1,JUNE,5,<0.01,0.34,0.01,0.02,4.4
Okanagan Lake,1,JUNE,10,<0.01,0.25,0.01,0.03,4.6
Okanagan Lake,1,JUNE,25,<0.01,0.15,<0.01,0.02,4.2
Okanagan Lake,1,JUNE,50,0.01,0.21,0.01,0.02,4.3
Okanagan Lake,1,JUNE,80,<0.01,0.23,0.08,0.11,4.3
Okanagan Lake,1,AUGUST,1,<0.01,0.49,<0.01,0.01,4.2
Okanagan Lake,1,AUGUST,5,0.02,0.49,<0.01,0.01,4.2
Okanagan Lake,1,AUGUST,10,<0.01,0.41,<0.01,0.01,4.2
Okanagan Lake,1,AUGUST,25,<0.01,0.49,<0.01,0.01,4.4
Okanagan Lake,1,AUGUST,50,0.02,0.46,<0.01,0.01,ND
Okanagan Lake,1,AUGUST,83,0.04,0.20,<0.01,0.01,4.8
Okanagan Lake,1,OCTOBER,1,0.01,0.07,<0.005,0.02,4.5
Okanagan Lake,1,OCTOBER,5,0.01,<0.01,<0.005,0.01,4.6
Okanagan Lake,1,OCTOBER,10,0.01,0.07,<0.005,0.01,4.6
Okanagan Lake,1,OCTOBER,25,0.01,0.28,<0.005,0.02,4.7
Okanagan Lake,1,OCTOBER,50,0.01,0.28,<0.005,0.01,4.7
Okanagan Lake,1,OCTOBER,80,0.02,<0.01,<0.005,0.02,5.2
Okanagan Lake,4,APRIL,1,0.01,0.21,0.01,0.21,4.9
Okanagan Lake,4,APRIL,5,<0.01,0.13,<0.01,0.03,4.3
Okanagan Lake,4,APRIL,10,<0.01,0.20,<0.01,0.03,4.3
