lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Osoyoos Lake,1,APRIL,1,0.01,0.24,0.01,0.05,2.2
Osoyoos Lake,1,APRIL,5,<0.01,0.24,0.01,0.06,2.0
Osoyoos Lake,1,APRIL,10,0.01,0.23,0.02,0.05,2.1
Osoyoos Lake,1,APRIL,25,0.03,0.28,0.02,0.05,2.3
Osoyoos Lake,1,APRIL,35,0.03,0.29,0.02,0.06,2.6
Osoyoos Lake,1,JUNE,1,<0.01,0.59,0.01,0.06,3.1
Osoyoos Lake,1,JUNE,5,<0.01,0.41,0.01,0.05,3.1
Osoyoos Lake,1,JUNE,10,0.02,0.34,0.02,0.06,3.4
Osoyoos Lake,1,JUNE,15,0.02,0.33,0.02,0.06,3.3
Osoyoos Lake,1,JUNE,20,0.04,0.30,0.02,0.06,3.1
Osoyoos Lake,1,JUNE,25,0.06,0.13,0.03,0.06,2.7
Osoyoos Lake,1,JUNE,30,0.07,0.13,0.03,0.07,2.7
Osoyoos Lake,1,JUNE,36,0.01,0.25,0.01,0.06,3.3
Osoyoos Lake,1,AUGUST,1,0.01,0.39,0.24,ND,3.4
Osoyoos Lake,1,AUGUST,5,0.01,0.38,<0.01,ND,ND
Osoyoos Lake,1,AUGUST,10,0.17,0.38,0.07,ND,4.8
Osoyoos Lake,1,AUGUST,18,0.02,0.38,<0.01,ND,3.8
Osoyoos Lake,1,AUGUST,30,0.23,0.28,0.20,ND,6.0
Osoyoos Lake,1,AUGUST,35,0.23,0.31,0.24,ND,6.4
Osoyoos Lake,1,OCTOBER,1,0.02,0.26,<0.005,0.05,4.2
Osoyoos Lake,1,OCTOBER,15,0.02,0.23,<0.005,0.05,4.2
Osoyoos Lake,1,OCTOBER,17,0.03,0.48,<0.005,0.05,4.2
Osoyoos Lake,1,OCTOBER,20,0.26,0.07,0.14,0.18,7.5
Osoyoos Lake,1,OCTOBER,25,0.17,0.23,0.15,0.20,7.3
Osoyoos Lake,3,APRIL,1,<0.01,0.28,0.01,0.06,2.0
Osoyoos Lake,3,APRIL,5,<0.01,0.23,0.01,0.07,2.0
Osoyoos Lake,3,APRIL,10,0.02,0.13,<0.01,0.08,2.5
Osoyoos Lake,3,APRIL,25,0.02,0.13,<0.01,0.11,3.0
Osoyoos Lake,3,APRIL,40,0.03,0.20,0.01,0.06,3.0
Osoyoos Lake,3,JUNE,1,<0.01,0.23,<0.01,0.05,3.0
Osoyoos Lake,3,JUNE,8,0.01,0.28,<0.01,0.05,3.0
Osoyoos Lake,3,JUNE,12,0.01,0.10,0.01,0.05,3.4
Osoyoos Lake,3,JUNE,20,0.05,0.38,0.03,0.06,2.8
Osoyoos Lake,3,JUNE,30,0.08,0.11,0.03,0.07,2.9
Osoyoos Lake,3,JUNE,40,0.09,0.46,0.05,0.10,3.2
Osoyoos Lake,3,AUGUST,1,0.04,0.23,0.21,ND,3.4
Osoyoos Lake,3,AUGUST,5,<0.01,0.21,<0.01,ND,3.4
Osoyoos Lake,3,AUGUST,15,0.05,0.11,<0.01,ND,4.5
Osoyoos Lake,3,AUGUST,20,0.19,0.03,0.11,ND,6.1
Osoyoos Lake,3,AUGUST,30,0.23,0.16,0.17,ND,6.0
Osoyoos Lake,3,AUGUST,41,0.20,0.16,0.15,ND,6.0
Osoyoos Lake,3,OCTOBER,1,0.02,0.02,<0.005,0.04,4.3
Osoyoos Lake,3,OCTOBER,15,0.02,<0.01,<0.005,0.04,4.2
Osoyoos Lake,3,OCTOBER,20,0.03,0.33,<0.005,0.04,4.2
Osoyoos Lake,3,OCTOBER,25,0.10,0.43,0.02,0.06,5.8
Osoyoos Lake,3,OCTOBER,37,0.14,<0.01,0.08,0.15,6.5
Osoyoos Lake,5,APRIL,1,<0.01,0.15,0.02,0.06,2.2
Osoyoos Lake,5,APRIL,5,<0.01,0.15,0.01,0.06,2.0
Osoyoos Lake,5,APRIL,12,<0.01,0.33,0.03,0.07,2.1
Osoyoos Lake,5,JUNE,1,<0.01,0.98,<0.01,0.05,3.2
Osoyoos Lake,5,JUNE,5,0.01,0.10,<0.01,0.05,3.4
Osoyoos Lake,5,JUNE,10,<0.01,0.28,<0.01,0.06,3.6
Osoyoos Lake,5,JUNE,13,<0.01,0.21,<0.01,0.06,3.6
Osoyoos Lake,5,AUGUST,1,0.03,0.26,0.12,ND,3.6
Osoyoos Lake,5,AUGUST,7,<0.01,0.38,<0.01,ND,3.6
Osoyoos Lake,5,AUGUST,11,<0.01,0.08,0.05,ND,7.7
Osoyoos Lake,5,OCTOBER,1,0.01,0.38,<0.005,0.05,4.2
Osoyoos Lake,5,OCTOBER,5,0.03,0.18,<0.005,0.05,4.2
Osoyoos Lake,5,OCTOBER,11,0.01,0.15,<0.005,0.05,4.6
Osoyoos Lake,6,APRIL,1,<0.01,<0.01,0.01,0.05,2.8
Osoyoos Lake,6,APRIL,5,<0.01,0.55,0.02,0.05,2.5
Osoyoos Lake,6,APRIL,10,<0.01,0.20,0.01,0.07,2.6
Osoyoos Lake,6,APRIL,20,<0.01,0.36,0.01,0.05,2.6
Osoyoos Lake,6,JUNE,1,<0.01,0.18,<0.01,0.04,2.6
Osoyoos Lake,6,JUNE,5,<0.01,0.31,<0.01,0.06,3.0
Osoyoos Lake,6,JUNE,10,0.01,0.20,<0.01,0.05,3.4
