lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Wood Lake,1,APRIL,1,<0.01,0.57,0.08,0.26,4.9
Wood Lake,1,APRIL,5,<0.01,0.65,0.08,0.26,4.8
Wood Lake,1,APRIL,10,0.03,0.57,0.07,0.26,5.0
Wood Lake,1,APRIL,22,0.05,0.54,0.08,0.28,5.0
Wood Lake,1,JUNE,1,<0.01,1.05,0.01,0.20,3.8
Wood Lake,1,JUNE,5,<0.01,1.05,<0.01,0.14,3.8
Wood Lake,1,JUNE,10,<0.01,0.82,<0.01,0.15,3.9
Wood Lake,1,JUNE,15,<0.01,0.80,0.19,0.38,4.2
Wood Lake,1,JUNE,20,0.01,2.03,0.14,0.29,4.3
Wood Lake,1,JUNE,25,0.02,0.77,0.53,0.62,5.0
Wood Lake,1,AUGUST,1,<0.01,<0.01,<0.01,ND,4.8
Wood Lake,1,AUGUST,5,<0.01,0.02,<0.01,ND,4.8
Wood Lake,1,AUGUST,10,<0.01,0.13,<0.01,ND,4.9
Wood Lake,1,AUGUST,15,<0.01,0.38,<0.01,0.28,5.1
Wood Lake,1,AUGUST,20,0.22,1.18,0.04,0.12,5.5
Wood Lake,1,AUGUST,28,0.08,0.66,0.29,0.49,5.8
Wood Lake,1,OCTOBER,1,<0.01,0.38,<0.005,0.07,5.1
Wood Lake,1,OCTOBER,10,<0.01,0.43,<0.005,0.06,5.1
Wood Lake,1,OCTOBER,15,<0.01,0.39,0.04,0.08,5.6
Wood Lake,1,OCTOBER,20,0.01,0.74,0.41,0.55,6.1
Wood Lake,1,OCTOBER,26,0.01,3.82,0.61,0.76,6.4
Wood Lake,2,APRIL,1,0.03,0.46,0.08,0.28,4.8
Wood Lake,2,APRIL,5,0.03,0.52,0.07,0.29,4.8
Wood Lake,2,APRIL,10,0.01,0.54,0.09,0.29,4.9
Wood Lake,2,APRIL,25,0.04,0.54,0.09,0.29,5.0
Wood Lake,2,APRIL,28,0.05,0.64,0.11,0.31,5.3
Wood Lake,2,JUNE,1,<0.01,0.57,0.01,0.24,3.9
Wood Lake,2,JUNE,5,<0.01,0.56,<0.01,0.11,4.0
Wood Lake,2,JUNE,10,<0.01,0.36,0.02,0.16,4.1
Wood Lake,2,JUNE,15,<0.01,0.36,0.05,0.25,4.3
Wood Lake,2,JUNE,20,<0.01,0.23,0.18,0.25,4.6
Wood Lake,2,JUNE,28,0.02,1.05,0.61,0.72,5.0
Wood Lake,2,AUGUST,1,<0.01,0.29,<0.01,0.05,4.9
Wood Lake,2,AUGUST,5,<0.01,0.26,<0.01,0.06,5.0
Wood Lake,2,AUGUST,10,0.21,0.41,<0.01,0.06,5.0
Wood Lake,2,AUGUST,15,<0.01,0.43,<0.01,0.14,5.3
Wood Lake,2,AUGUST,25,0.01,0.66,0.58,0.70,6.2
Wood Lake,2,AUGUST,30,0.02,0.83,0.62,0.75,6.3
Wood Lake,2,OCTOBER,1,<0.01,0.51,<0.005,0.06,5.1
Wood Lake,2,OCTOBER,10,<0.01,0.56,<0.005,0.06,5.1
Wood Lake,2,OCTOBER,15,<0.01,0.34,0.008,0.05,5.4
Wood Lake,2,OCTOBER,20,<0.01,0.51,0.29,0.36,5.9
Wood Lake,2,OCTOBER,29,0.02,1.11,0.62,0.76,6.4
Wood Lake,4,APRIL,1,<0.01,0.82,0.08,0.31,5.1
Wood Lake,4,APRIL,5,0.01,0.64,0.07,0.29,5.1
Wood Lake,4,APRIL,10,0.02,0.59,0.08,0.29,5.2
Wood Lake,4,APRIL,15,0.04,0.47,0.10,3.8,5.4
Wood Lake,4,JUNE,1,<0.01,0.52,0.02,0.26,3.8
Wood Lake,4,JUNE,5,<0.01,0.39,0.01,0.00,3.9
Wood Lake,4,JUNE,10,0.01,0.61,0.01,0.12,4.0
Wood Lake,4,JUNE,15,0.02,1.00,0.10,0.25,4.5
Wood Lake,4,AUGUST,1,<0.01,0.04,<0.01,0.04,4.8
Wood Lake,4,AUGUST,5,<0.01,0.16,<0.01,0.06,4.9
Wood Lake,4,AUGUST,10,0.01,0.47,<0.01,0.15,4.9
Wood Lake,4,AUGUST,17,0.10,0.93,<0.01,0.12,5.5
Wood Lake,4,OCTOBER,1,<0.01,0.38,<0.005,0.07,5.2
Wood Lake,4,OCTOBER,10,<0.01,0.38,<0.005,0.06,5.2
Wood Lake,4,OCTOBER,15,<0.01,0.25,<0.005,0.05,5.2
Wood Lake,4,OCTOBER,18,<0.01,0.28,<0.005,0.20,5.6
