lake,station,season,sample_date_1971,depth_m,HCO3,SO4,Cl,F
Kalamalka Lake,2,APRIL,1971-04-18,1,185.4,56.5,1.5,0.30
Kalamalka Lake,2,APRIL,1971-04-18,5,181,56.5,1.4,0.30
Kalamalka Lake,2,APRIL,1971-04-18,10,181,55.5,1.3,0.29
Kalamalka Lake,2,APRIL,1971-04-18,25,178,55.8,1.3,0.29
Kalamalka Lake,2,JUNE,1971-06-19,1,178,54.9,1.1,0.27
Kalamalka Lake,2,JUNE,1971-06-19,5,183,55.5,1.5,0.27
Kalamalka Lake,2,JUNE,1971-06-19,10,181,55.2,1.0,0.27
Kalamalka Lake,2,JUNE,1971-06-19,25,182,56.5,1.0,0.27
Kalamalka Lake,2,JUNE,1971-06-19,50,182,56.4,1.0,0.28
Kalamalka Lake,2,JUNE,1971-06-19,60,182,55.9,1.0,0.27
Kalamalka Lake,2,AUGUST,1971-08-19,1,171,55.6,1.3,0.33
Kalamalka Lake,2,AUGUST,1971-08-19,5,173,54.6,1.3,0.33
Kalamalka Lake,2,AUGUST,1971-08-19,15,171,55.4,1.3,0.32
Kalamalka Lake,2,AUGUST,1971-08-19,30,176,54.2,1.4,0.33
Kalamalka Lake,2,AUGUST,1971-08-19,40,178,56.1,1.3,0.33
Kalamalka Lake,2,AUGUST,1971-08-19,50,178,55.1,1.3,0.33
Kalamalka Lake,2,OCTOBER,1971-10-19,1,171,55.4,1.3,0.30
Kalamalka Lake,2,OCTOBER,1971-10-19,15,171,55.3,1.3,0.30
Kalamalka Lake,2,OCTOBER,1971-10-19,20,172,55.3,1.3,0.31
Kalamalka Lake,2,OCTOBER,1971-10-19,30,181,55.6,1.3,0.30
Kalamalka Lake,4,APRIL,1971-04-18,1,178,55.7,1.4,0.29
Kalamalka Lake,4,APRIL,1971-04-18,5,181,55.8,1.2,0.29
Kalamalka Lake,4,APRIL,1971-04-18,10,178,55.5,1.3,0.30
Kalamalka Lake,4,APRIL,1971-04-18,25,179,56.6,1.7,0.30
Kalamalka Lake,4,APRIL,1971-04-18,50,179,55.8,1.6,0.29
Kalamalka Lake,4,APRIL,1971-04-18,78,179,55.8,.13,0.29
Kalamalka Lake,4,JUNE,1971-06-19,1,176,54.9,1.1,0.27
Kalamalka Lake,4,JUNE,1971-06-19,5,178,55.5,1.0,0.26
Kalamalka Lake,4,JUNE,1971-06-19,10,177,55.5,1.0,0.27
Kalamalka Lake,4,JUNE,1971-06-19,25,179,55.5,1.0,0.27
Kalamalka Lake,4,JUNE,1971-06-19,50,182,56.1,1.0,0.27
Kalamalka Lake,4,JUNE,1971-06-19,105,183,56.4,1.1,0.27
Kalamalka Lake,4,AUGUST,1971-08-19,1,171,56.2,1.4,0.32
Kalamalka Lake,4,AUGUST,1971-08-19,5,172,55.4,1.3,0.32
Kalamalka Lake,4,AUGUST,1971-08-19,10,172,54.4,1.3,0.32
Kalamalka Lake,4,AUGUST,1971-08-19,25,178,55.7,1.3,0.32
Kalamalka Lake,4,AUGUST,1971-08-19,50,178,55.7,1.3,0.33
Kalamalka Lake,4,AUGUST,1971-08-19,90,178,55.4,1.3,0.33
Kalamalka Lake,4,OCTOBER,1971-10-19,1,171,55.8,1.3,0.30
Kalamalka Lake,4,OCTOBER,1971-10-19,5,171,55.4,1.4,0.30
Kalamalka Lake,4,OCTOBER,1971-10-19,10,171,55.3,1.4,0.31
Kalamalka Lake,4,OCTOBER,1971-10-19,25,172,55.8,1.4,0.31
Kalamalka Lake,4,OCTOBER,1971-10-19,50,179,55.9,1.4,0.31
Kalamalka Lake,4,OCTOBER,1971-10-19,100,179,56.8,1.4,0.31
Wood Lake,1,APRIL,1971-04-13,1,190,30.1,2.6,0.34
Wood Lake,1,APRIL,1971-04-13,5,188,30.7,2.6,0.34
Wood Lake,1,APRIL,1971-04-13,10,190,28.9,2.6,0.34
Wood Lake,1,APRIL,1971-04-13,22,190,29.7,2.6,0.34
Wood Lake,1,JUNE,1971-06-16,1,165,30.9,2.3,0.30
Wood Lake,1,JUNE,1971-06-16,5,168,31.1,2.3,0.30
Wood Lake,1,JUNE,1971-06-16,10,173,30.6,2.4,0.30
Wood Lake,1,JUNE,1971-06-16,15,193,31.1,2.6,0.30
Wood Lake,1,JUNE,1971-06-16,20,193,30.6,2.4,0.30
Wood Lake,1,JUNE,1971-06-16,25,198,31.9,2.4,0.30
Wood Lake,1,AUGUST,1971-08-16,1,132,29.8,2.6,0.34
Wood Lake,1,AUGUST,1971-08-16,5,127,30.4,2.6,0.34
Wood Lake,1,AUGUST,1971-08-16,10,131,30.1,2.6,0.34
Wood Lake,1,AUGUST,1971-08-16,15,192,29.3,2.5,0.35
Wood Lake,1,AUGUST,1971-08-16,20,196,29.6,2.6,0.35
Wood Lake,1,AUGUST,1971-08-16,28,194,29.3,2.6,0.34
Wood Lake,1,OCTOBER,1971-10-14,1,148,31.4,2.6,0.31
Wood Lake,1,OCTOBER,1971-10-14,10,154,30.7,2.6,0.31
Wood Lake,1,OCTOBER,1971-10-14,15,190,29.2,2.6,0.31
Wood Lake,1,OCTOBER,1971-10-14,20,205,28.6,2.6,0.32
Wood Lake,2,APRIL,1971-04-13,1,189,29.7,2.7,0.35
Wood Lake,2,APRIL,1971-04-13,5,188,30.4,2.6,0.33
Wood Lake,2,APRIL,1971-04-13,10,190,29.6,2.5,0.34
Wood Lake,2,APRIL,1971-04-13,25,188,31.8,2.6,0.33
Wood Lake,2,APRIL,1971-04-13,28,189,29.1,2.6,0.33
Wood Lake,2,JUNE,1971-06-16,1,165,30.9,2.3,0.30
