lake,station,season,sample_date_1971,depth_m,HCO3,SO4,Cl,F
Okanagan Lake,10,APRIL,1971-04-20,1,134,26.0,1.1,0.17
Okanagan Lake,10,APRIL,1971-04-20,5,133,26.1,1.0,0.16
Okanagan Lake,10,APRIL,1971-04-20,10,133,26.3,1.0,0.16
Okanagan Lake,10,APRIL,1971-04-20,25,133,26.5,1.0,0.17
Okanagan Lake,10,APRIL,1971-04-20,50,133,26.8,1.1,0.17
Okanagan Lake,10,APRIL,1971-04-20,59,133,26.8,1.3,0.17
Okanagan Lake,10,JUNE,1971-06-20,1,129,26.6,1.1,0.17
Okanagan Lake,10,JUNE,1971-06-20,5,129,26.3,1.1,0.16
Okanagan Lake,10,JUNE,1971-06-20,10,129,26.3,1.1,0.17
Okanagan Lake,10,JUNE,1971-06-20,25,133,27.1,1.1,0.18
Okanagan Lake,10,JUNE,1971-06-20,50,134,26.8,1.1,0.18
Okanagan Lake,10,JUNE,1971-06-20,62,134,27.3,1.1,0.17
Okanagan Lake,10,AUGUST,1971-08-20,1,129,25.6,1.1,0.15
Okanagan Lake,10,AUGUST,1971-08-20,5,128,26.1,1.2,0.16
Okanagan Lake,10,AUGUST,1971-08-20,10,132,26.4,1.2,0.16
Okanagan Lake,10,AUGUST,1971-08-20,25,134,26.4,1.2,0.18
Okanagan Lake,10,AUGUST,1971-08-20,50,134,26.3,1.1,0.17
Okanagan Lake,10,AUGUST,1971-08-20,58,134,26.6,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,1,129,26.9,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,5,129,27.0,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,15,132,27.6,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,25,133,27.7,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,53,134,28.4,1.1,0.17
Okanagan Lake,11,APRIL,1971-04-20,1,133,26.8,1.1,0.17
Okanagan Lake,11,APRIL,1971-04-20,5,133,26.8,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,10,134,26.5,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,25,134,27.1,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,50,133,27.1,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,100,133,27.7,1.0,0.16
Okanagan Lake,11,APRIL,1971-04-20,180,133,27.6,1.0,0.17
Okanagan Lake,11,JUNE,1971-06-20,1,131,26.6,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,5,128,27.6,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,10,127,26.8,1.1,0.15
Okanagan Lake,11,JUNE,1971-06-20,25,133,28.0,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,50,133,26.6,1.2,ND
Okanagan Lake,11,JUNE,1971-06-20,100,137,27.5,1.2,0.16
Okanagan Lake,11,JUNE,1971-06-20,182,137,27.8,1.2,0.17
Okanagan Lake,11,AUGUST,1971-08-20,1,127,26.4,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,5,128,26.2,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,10,131,25.9,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,25,134,26.5,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,50,134,26.7,1.2,0.16
Okanagan Lake,11,AUGUST,1971-08-20,100,134,26.4,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,168,134,26.0,1.1,0.16
Okanagan Lake,11,OCTOBER,1971-10-19,1,129,27.4,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,5,129,27.4,1.1,0.16
Okanagan Lake,11,OCTOBER,1971-10-19,10,129,27.6,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,25,132,27.2,1.1,0.17
